Cedula; Nombres; Edad(Anios); Pena(anios); Fecha(Ingreso); Fecha(Salida); Pabellon; Celda; Clasificacion; Visitas semanales(Horas); Delito
7994092882; Michael Cesar Gonzales Ramirez; 66; 71; 7/12/1966; 31/3/1975; 5(E); 74; B; 3 Hora(s); Extorsion
2693596742; Dario Cesar Gonzales Morales; 75; 61; 13/1/1993; 29/5/1956; 5(E); 66; B; 4 Hora(s); Homicidio
6641212440; Gonzo Diego Guerrero Hidalgo; 36; 48; 28/11/1983; 18/10/2016; 3(C); 32; M; 2 Hora(s); Extorsion
1548411523; Dario Angel Cevallos Hidalgo; 37; 46; 26/1/2007; 10/7/1990; 3(C); 90; M; 2 Hora(s); Extorsion
7235696074; Gonzo Cesar Perez Roman; 48; 68; 16/9/1993; 19/4/1953; 3(C); 42; M; 1 Hora(s); Extorsion
7448321487; Gonzo Paulo Guerrero Reyes; 31; 51; 15/10/2001; 5/11/2007; 5(E); 37; B; 4 Hora(s); Otro
2065139357; Victor Paulo Romero Reyes; 35; 35; 16/4/1988; 18/3/1993; 3(C); 4; M; 4 Hora(s); Homicidio
2004114975; Michael Angel Guerrero Espinosa; 64; 79; 25/6/1963; 3/2/2008; 5(E); 26; B; 3 Hora(s); Narcotrafico
8722939304; Dario Pablo Gonzales Ramirez; 76; 44; 16/7/2000; 17/2/1985; 5(E); 80; B; 2 Hora(s); Extorsion
9625549404; Victor Pablo Perero Reyes; 37; 85; 21/12/1962; 11/1/2013; 3(C); 51; M; 2 Hora(s); Extorsion
9204915335; Michael Cesar Gonzales Ramirez; 97; 75; 10/8/1970; 3/12/1956; 5(E); 74; B; 3 Hora(s); Extorsion
9885718129; Victor Adrian Garcia Ramirez; 60; 84; 21/12/1957; 6/9/2002; 5(E); 17; B; 1 Hora(s); Otro
2209098364; Fabian Pablo Cevallos Ramirez; 80; 97; 8/11/1957; 23/11/1953; 5(E); 77; B; 1 Hora(s); Otro
1400258004; Dario Cesar Cuenca Espinosa; 93; 66; 8/1/2007; 12/12/1960; 3(C); 25; M; 1 Hora(s); Asesinato
9590393741; Michael Sergio Perero Roman; 52; 29; 28/5/1998; 30/5/1983; 3(C); 4; M; 1 Hora(s); Extorsion
5280119345; Dario Cesar Smither Rivera; 70; 39; 29/7/1966; 9/3/1989; 3(C); 51; M; 4 Hora(s); Otro
5910432552; Carlos Cesar Romero Morales; 71; 39; 23/3/1954; 16/6/1951; 3(C); 66; M; 3 Hora(s); Homicidio
5435065698; Steward Diego Perero Morales; 92; 7; 7/7/1970; 4/1/1964; 3(C); 55; M; 1 Hora(s); Extorsion
5688093012; Carlos Sergio Romero Castro; 100; 66; 24/5/1959; 11/9/2024; 5(E); 62; B; 4 Hora(s); Otro
3212319955; Michael Sergio Romero Ramirez; 87; 4; 30/7/1976; 20/6/1967; 3(C); 41; M; 1 Hora(s); Extorsion
9250265194; Gonzo Angel Cevallos Reyes; 67; 41; 19/2/1956; 19/2/1968; 5(E); 46; B; 3 Hora(s); Homicidio
1491186117; Carlos Diego Guerrero Gomez; 97; 77; 15/2/1956; 1/12/1997; 3(C); 24; M; 1 Hora(s); Homicidio
4081221241; Victor Angel Smither Ramirez; 76; 57; 31/5/1957; 11/11/1963; 3(C); 28; M; 2 Hora(s); Narcotrafico
8730949576; Dario Julian Perez Morales; 39; 9; 4/5/1972; 1/5/2023; 5(E); 46; B; 4 Hora(s); Narcotrafico
5280773930; Victor Cesar Smither Ramirez; 100; 27; 17/7/1955; 28/2/1953; 3(C); 68; M; 1 Hora(s); Asesinato
3407268272; Mario Angel Smither Roman; 25; 20; 31/4/2013; 5/3/1999; 3(C); 76; M; 4 Hora(s); Extorsion
7113742601; Fabian Vicent Romero Castro; 96; 89; 31/6/1952; 29/9/2008; 3(C); 54; M; 4 Hora(s); Homicidio
7638815576; Mario Cesar Perero Reyes; 48; 60; 1/8/1963; 18/8/2013; 3(C); 8; M; 2 Hora(s); Extorsion
4982336317; Carlos Sergio Smither Ramirez; 84; 38; 11/1/1978; 4/11/1965; 3(C); 60; M; 4 Hora(s); Asesinato
3502680582; Dario Angel Perez Roman; 72; 9; 14/4/1957; 23/7/1973; 3(C); 3; M; 3 Hora(s); Otro
5432849276; Michael Cesar Cevallos Ramirez; 33; 88; 12/2/2007; 18/10/1976; 5(E); 1; B; 4 Hora(s); Extorsion
8390586600; Dario Vicent Cevallos Espinosa; 98; 15; 8/1/1996; 3/10/2014; 5(E); 62; B; 2 Hora(s); Asesinato
