#PPL; Cedula; Nombres; Edad(Anios); Pena(anios); Fecha(Ingreso)(d/m/a); Fecha(Salida)(d/m/a); Anios Restantes (pena); Pabellon; Celda; Clasificacion; Visitas semanales(Horas); Delito
PPL 1; 5619775676; Pedro Antonio Romero Morales; 28; 12; 14/02/2015; 14/02/2027; 3; 1(A); A1; Alto; 1 Hora(s); Narcotrafico
PPL 2; 1099748059; Pedro Julian Torres Morales; 36; 23; 18/05/2007; 18/05/2030; 6; 1(A); A2; Alto; 1 Hora(s); Narcotrafico
PPL 3; 1902876466; Fabian Antonio Torres Sanchez; 44; 31; 23/09/1999; 23/09/2030; 6; 1(A); A3; Alto; 1 Hora(s); Homicidio
PPL 4; 4625157114; Michael Antonio Cevallos Hidalgo; 62; 43; 06/11/1984; 06/11/2027; 3; 1(A); A4; Alto; 1 Hora(s); Narcotrafico
PPL 5; 1396356509; Victor Pablo Garcia Reyes; 63; 45; 28/11/1981; 28/11/2026; 2; 1(A); A5; Alto; 1 Hora(s); Narcotrafico
PPL 6; 6590242643; Fabian Pablo Perero Reyes; 53; 38; 31/12/1990; 31/12/2028; 4; 1(A); A6; Alto; 1 Hora(s); Narcotrafico
PPL 7; 3342655262; Pedro Julian Garcia Reyes; 58; 42; 14/12/1985; 14/12/2027; 3; 1(A); A7; Alto; 1 Hora(s); Narcotrafico
PPL 8; 1894630758; Victor Julian Paredes Roman; 61; 42; 10/01/1985; 10/01/2027; 3; 1(A); A8; Alto; 1 Hora(s); Homicidio
PPL 9; 6428492117; Victor Antonio Garcia Hidalgo; 59; 41; 21/07/1987; 21/07/2028; 4; 1(A); A9; Alto; 1 Hora(s); Homicidio
PPL 10; 2993170315; Pedro Sergio Torres Morales; 24; 6; 06/10/2020; 06/10/2026; 2; 1(A); A10; Alto; 1 Hora(s); Narcotrafico
PPL 11; 2907727674; Dario Antonio Romero Ramirez; 59; 46; 08/04/1984; 08/04/2030; 6; 1(A); A11; Alto; 1 Hora(s); Homicidio
PPL 12; 1726755532; Pedro Julian Perero Rivera; 53; 35; 18/07/1993; 18/07/2028; 4; 1(A); A12; Alto; 1 Hora(s); Homicidio
PPL 13; 2941492327; Mario Julian Gonzales Rivera; 26; 18; 19/11/2024; 19/11/2042; 18; 1(A); A13; Alto; 1 Hora(s); Narcotrafico
PPL 14; 2174564161; Fabian Adrian Garcia Roman; 51; 34; 07/06/1993; 07/06/2027; 3; 1(A); A14; Alto; 1 Hora(s); Homicidio
PPL 15; 3692634171; Gonzalo Antonio Romero Sanchez; 61; 41; 09/11/1985; 09/11/2026; 2; 1(A); A15; Alto; 1 Hora(s); Narcotrafico
PPL 16; 4544358636; Carlos Sergio Romero Ramirez; 47; 34; 20/07/1996; 20/07/2030; 6; 1(A); A16; Alto; 1 Hora(s); Homicidio
PPL 17; 6090042382; Roberto Paulo Paredes Sanchez; 47; 33; 28/09/1997; 28/09/2030; 6; 1(A); A17; Alto; 1 Hora(s); Homicidio
PPL 18; 1875118579; Carlos Julian Paredes Ramirez; 38; 22; 12/11/2008; 12/11/2030; 6; 1(A); A18; Alto; 1 Hora(s); Narcotrafico
PPL 19; 8178995988; Pedro Diego Paredes Sanchez; 27; 6; 11/07/2024; 11/07/2030; 6; 1(A); A19; Alto; 1 Hora(s); Homicidio
PPL 20; 1359357574; Pedro Paulo Paredes Hidalgo; 30; 25; 22/05/2013; 22/05/2038; 14; 1(A); A20; Alto; 1 Hora(s); Narcotrafico
