#PPL; Cedula; Nombres; Edad(Anios); Pena(anios); Fecha(Ingreso)(d/m/a); Fecha(Salida)(d/m/a); Anios Restantes (pena); Pabellon; Celda; Clasificacion; Visitas semanales(Horas); Delito
PPL 81; 7578080871; Pedro Antonio Cevallos Morales; 28; 13; 26/01/2015; 26/01/2028; 4; 2(B); B1; Medio; 2 Hora(s); Hurto
PPL 82; 6355736509; Roberto Sergio Gonzales Ramirez; 60; 46; 24/11/1983; 24/11/2029; 5; 2(B); B2; Medio; 2 Hora(s); Robo
PPL 83; 4051084792; Roberto Pablo Romero Ramirez; 42; 27; 29/02/2001; 29/02/2028; 4; 2(B); B3; Medio; 2 Hora(s); Hurto
PPL 84; 6404147287; Mario Julian Paredes Reyes; 36; 27; 01/11/2009; 01/11/2036; 12; 2(B); B4; Medio; 2 Hora(s); Robo
PPL 85; 5759875509; Carlos Pablo Romero Gomez; 40; 15; 19/04/2012; 19/04/2027; 3; 2(B); B5; Medio; 2 Hora(s); Evacion de Impuestos
PPL 86; 6640354755; Michael Angel Paredes Reyes; 66; 48; 28/11/1980; 28/11/2028; 4; 2(B); B6; Medio; 2 Hora(s); Evacion de Impuestos
PPL 87; 1767466189; Michael Sergio Cuenca Morales; 23; 18; 17/05/2021; 17/05/2039; 15; 2(B); B7; Medio; 2 Hora(s); Hurto
PPL 88; 3824278730; Roberto Antonio Guerrero Ramirez; 48; 32; 20/01/1995; 20/01/2027; 3; 2(B); B8; Medio; 2 Hora(s); Hurto
PPL 89; 5822883585; Gonzalo Julian Paredes Roman; 37; 24; 07/11/2013; 07/11/2037; 13; 2(B); B9; Medio; 2 Hora(s); Evacion de Impuestos
PPL 90; 1893091976; Gonzalo Angel Paredes Rivera; 46; 23; 24/01/2005; 24/01/2028; 4; 2(B); B10; Medio; 2 Hora(s); Hurto
PPL 91; 4994346146; Dario Julian Paredes Gomez; 61; 44; 15/04/1983; 15/04/2027; 3; 2(B); B11; Medio; 2 Hora(s); Hurto
PPL 92; 2274911774; Carlos Adrian Garcia Ramirez; 34; 19; 02/10/2009; 02/10/2028; 4; 2(B); B12; Medio; 2 Hora(s); Fraude
PPL 93; 4556440492; Fabian Diego Gonzales Espinosa; 60; 43; 28/10/1985; 28/10/2028; 4; 2(B); B13; Medio; 2 Hora(s); Robo
PPL 94; 1915130470; Victor Diego Garcia Ramirez; 56; 36; 14/05/1990; 14/05/2026; 2; 2(B); B14; Medio; 2 Hora(s); Fraude
PPL 95; 8518830844; Fabian Antonio Torres Roman; 59; 45; 08/12/1985; 08/12/2030; 6; 2(B); B15; Medio; 2 Hora(s); Hurto
PPL 96; 8227376746; Gonzalo Antonio Garcia Hidalgo; 44; 29; 04/10/1999; 04/10/2028; 4; 2(B); B16; Medio; 2 Hora(s); Hurto
PPL 97; 1719551377; Roberto Julian Gonzales Espinosa; 49; 36; 11/09/1994; 11/09/2030; 6; 2(B); B17; Medio; 2 Hora(s); Evacion de Impuestos
PPL 98; 9521583451; Dario Antonio Guerrero Reyes; 49; 30; 14/07/2019; 14/07/2049; 25; 2(B); B18; Medio; 2 Hora(s); Robo
PPL 99; 3210930305; Roberto Diego Torres Reyes; 54; 39; 26/06/1991; 26/06/2030; 6; 2(B); B19; Medio; 2 Hora(s); Hurto
PPL 100; 1087438354; Victor Pablo Paredes Reyes; 46; 12; 06/02/2020; 06/02/2032; 8; 2(B); B20; Medio; 2 Hora(s); Fraude
PPL 101; 5718155105; Michael Sergio Paredes Rivera; 45; 10; 10/02/2017; 10/02/2027; 3; 2(B); B21; Medio; 2 Hora(s); Evacion de Impuestos
PPL 102; 2404562030; Victor Antonio Paredes Rivera; 43; 30; 24/05/2019; 24/05/2049; 25; 2(B); B22; Medio; 2 Hora(s); Fraude
PPL 103; 3254882840; Carlos Paulo Cuenca Sanchez; 36; 21; 07/07/2013; 07/07/2034; 10; 2(B); B23; Medio; 2 Hora(s); Hurto
PPL 104; 5461545547; Pedro Cesar Gonzales Sanchez; 31; 12; 07/03/2023; 07/03/2035; 11; 2(B); B24; Medio; 2 Hora(s); Fraude
PPL 105; 5037136110; Roberto Paulo Gonzales Sanchez; 56; 39; 28/11/1987; 28/11/2026; 2; 2(B); B25; Medio; 2 Hora(s); Fraude
PPL 106; 3948714451; Victor Paulo Garcia Reyes; 29; 6; 18/10/2020; 18/10/2026; 2; 2(B); B26; Medio; 2 Hora(s); Hurto
PPL 107; 1843856044; Roberto Antonio Cuenca Sanchez; 26; 24; 05/12/2018; 05/12/2042; 18; 2(B); B27; Medio; 2 Hora(s); Hurto
PPL 108; 1370757834; Carlos Adrian Perero Roman; 47; 28; 18/09/2004; 18/09/2032; 8; 2(B); B28; Medio; 2 Hora(s); Evacion de Impuestos
PPL 109; 2604212966; Fabian Antonio Garcia Rivera; 51; 34; 15/09/1992; 15/09/2026; 2; 2(B); B29; Medio; 2 Hora(s); Fraude
PPL 110; 2851130436; Victor Adrian Paredes Sanchez; 58; 43; 15/08/1987; 15/08/2030; 6; 2(B); B30; Medio; 2 Hora(s); Hurto
