#PPL; Cedula; Nombres; Edad(Anios); Pena(anios); Fecha(Ingreso)(d/m/a); Fecha(Salida)(d/m/a); Anios Restantes (pena); Pabellon; Celda; Clasificacion; Visitas semanales(Horas); Delito
PPL 261; 5997450808; Mario Angel Garcia Gomez; 29; 27; 28/07/2016; 28/07/2043; 19; 3(C); C1; Medio; 2 Hora(s); Robo
PPL 262; 5274863737; Dario Diego Romero Morales; 43; 27; 24/11/2021; 24/11/2048; 24; 3(C); C2; Medio; 2 Hora(s); Hurto
PPL 263; 5910361284; Dario Diego Guerrero Gomez; 48; 30; 10/07/2004; 10/07/2034; 10; 3(C); C3; Medio; 2 Hora(s); Fraude
PPL 264; 2929655752; Michael Angel Guerrero Sanchez; 40; 13; 15/05/2024; 15/05/2037; 13; 3(C); C4; Medio; 2 Hora(s); Robo
PPL 265; 9281199758; Pedro Antonio Perero Sanchez; 50; 35; 01/07/1994; 01/07/2029; 5; 3(C); C5; Medio; 2 Hora(s); Fraude
PPL 266; 4267886325; Michael Sergio Cevallos Espinosa; 55; 41; 24/03/1988; 24/03/2029; 5; 3(C); C6; Medio; 2 Hora(s); Evacion de Impuestos
PPL 267; 5602543815; Dario Diego Romero Gomez; 48; 25; 15/05/2001; 15/05/2026; 2; 3(C); C7; Medio; 2 Hora(s); Fraude
PPL 268; 6517930419; Fabian Antonio Guerrero Morales; 62; 46; 01/03/1983; 01/03/2029; 5; 3(C); C8; Medio; 2 Hora(s); Evacion de Impuestos
PPL 269; 5865971813; Victor Angel Cevallos Roman; 56; 42; 05/07/1987; 05/07/2029; 5; 3(C); C9; Medio; 2 Hora(s); Fraude
PPL 270; 6497951768; Fabian Adrian Paredes Hidalgo; 49; 25; 15/08/2002; 15/08/2027; 3; 3(C); C10; Medio; 2 Hora(s); Hurto
PPL 271; 2188962969; Roberto Antonio Romero Hidalgo; 49; 31; 02/07/1997; 02/07/2028; 4; 3(C); C11; Medio; 2 Hora(s); Robo
PPL 272; 2138673023; Pedro Antonio Romero Espinosa; 46; 26; 06/10/2000; 06/10/2026; 2; 3(C); C12; Medio; 2 Hora(s); Robo
PPL 273; 6372963818; Pedro Sergio Romero Sanchez; 60; 47; 15/10/1983; 15/10/2030; 6; 3(C); C13; Medio; 2 Hora(s); Evacion de Impuestos
PPL 274; 1614387885; Dario Adrian Torres Espinosa; 37; 22; 01/02/2006; 01/02/2028; 4; 3(C); C14; Medio; 2 Hora(s); Fraude
PPL 275; 8136325881; Roberto Paulo Perero Morales; 50; 33; 26/02/1996; 26/02/2029; 5; 3(C); C15; Medio; 2 Hora(s); Fraude
