#PPL; Cedula; Nombres; Edad(Anios); Pena(anios); Fecha(Ingreso)(d/m/a); Fecha(Salida)(d/m/a); Anios Restantes (pena); Pabellon; Celda; Clasificacion; Visitas semanales(Horas); Delito
PPL 621; 9461261145; Michael Diego Cuenca Sanchez; 49; 21; 19/11/2007; 19/11/2028; 4; 5(E); E1; Bajo; 4 Hora(s); Otros
PPL 622; 7650935977; Roberto Angel Perero Ramirez; 42; 28; 14/01/2002; 14/01/2030; 6; 5(E); E2; Bajo; 4 Hora(s); Escandalo Publico
PPL 623; 1415726030; Dario Adrian Romero Sanchez; 45; 24; 21/10/2023; 21/10/2047; 23; 5(E); E3; Bajo; 4 Hora(s); Estafa
PPL 624; 2436926441; Victor Angel Torres Morales; 37; 21; 01/04/2008; 01/04/2029; 5; 5(E); E4; Bajo; 4 Hora(s); Escandalo Publico
PPL 625; 3794144966; Mario Angel Perero Hidalgo; 49; 35; 13/01/1994; 13/01/2029; 5; 5(E); E5; Bajo; 4 Hora(s); Estafa
PPL 626; 1762634819; Roberto Cesar Paredes Gomez; 45; 29; 11/02/2002; 11/02/2031; 7; 5(E); E6; Bajo; 4 Hora(s); Escandalo Publico
PPL 627; 3738875644; Victor Angel Cevallos Hidalgo; 64; 49; 13/10/1981; 13/10/2030; 6; 5(E); E7; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 628; 3575162131; Fabian Diego Gonzales Reyes; 31; 16; 28/09/2012; 28/09/2028; 4; 5(E); E8; Bajo; 4 Hora(s); Escandalo Publico
PPL 629; 4691284853; Carlos Diego Guerrero Sanchez; 42; 25; 05/11/2001; 05/11/2026; 2; 5(E); E9; Bajo; 4 Hora(s); Otros
PPL 630; 2644080259; Pedro Julian Paredes Rivera; 44; 14; 09/02/2014; 09/02/2028; 4; 5(E); E10; Bajo; 4 Hora(s); Escandalo Publico
PPL 631; 5933094237; Mario Antonio Gonzales Sanchez; 48; 31; 11/12/1998; 11/12/2029; 5; 5(E); E11; Bajo; 4 Hora(s); Estafa
PPL 632; 5442723457; Pedro Cesar Romero Morales; 37; 20; 17/10/2006; 17/10/2026; 2; 5(E); E12; Bajo; 4 Hora(s); Otros
PPL 633; 4275216543; Roberto Paulo Gonzales Sanchez; 47; 22; 29/06/2005; 29/06/2027; 3; 5(E); E13; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 634; 9456424022; Gonzalo Pablo Perero Rivera; 64; 47; 12/03/1982; 12/03/2029; 5; 5(E); E14; Bajo; 4 Hora(s); Estafa
PPL 635; 8890996261; Roberto Pablo Torres Reyes; 22; 29; 18/05/2021; 18/05/2050; 26; 5(E); E15; Bajo; 4 Hora(s); Estafa
PPL 636; 6094263817; Pedro Sergio Guerrero Sanchez; 60; 40; 04/01/1986; 04/01/2026; 2; 5(E); E16; Bajo; 4 Hora(s); Estafa
PPL 637; 6940448007; Roberto Adrian Garcia Reyes; 57; 38; 28/02/1989; 28/02/2027; 3; 5(E); E17; Bajo; 4 Hora(s); Estafa
PPL 638; 4164655616; Gonzalo Pablo Romero Morales; 41; 25; 31/01/2003; 31/01/2028; 4; 5(E); E18; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 639; 1087462054; Dario Sergio Cuenca Rivera; 37; 19; 18/10/2008; 18/10/2027; 3; 5(E); E19; Bajo; 4 Hora(s); Escandalo Publico
PPL 640; 6680359727; Roberto Adrian Romero Sanchez; 42; 11; 24/05/2015; 24/05/2026; 2; 5(E); E20; Bajo; 4 Hora(s); Escandalo Publico
PPL 641; 2512276903; Victor Antonio Perero Gomez; 59; 44; 07/12/1986; 07/12/2030; 6; 5(E); E21; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 642; 5829726764; Pedro Antonio Torres Gomez; 52; 34; 29/03/1994; 29/03/2028; 4; 5(E); E22; Bajo; 4 Hora(s); Estafa
PPL 643; 6491661885; Dario Julian Perero Sanchez; 50; 36; 19/03/1993; 19/03/2029; 5; 5(E); E23; Bajo; 4 Hora(s); Escandalo Publico
PPL 644; 1825037885; Michael Paulo Cuenca Ramirez; 46; 28; 31/04/2014; 31/04/2042; 18; 5(E); E24; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 645; 6492082096; Michael Paulo Gonzales Morales; 32; 13; 09/10/2014; 09/10/2027; 3; 5(E); E25; Bajo; 4 Hora(s); Estafa
PPL 646; 8271182976; Roberto Angel Romero Rivera; 24; 11; 16/07/2024; 16/07/2035; 11; 5(E); E26; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 647; 7974140756; Gonzalo Antonio Cevallos Hidalgo; 42; 25; 13/08/2002; 13/08/2027; 3; 5(E); E27; Bajo; 4 Hora(s); Escandalo Publico
PPL 648; 6704193437; Mario Sergio Gonzales Roman; 41; 27; 11/03/2004; 11/03/2031; 7; 5(E); E28; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 649; 10024174742; Fabian Julian Torres Roman; 28; 12; 05/10/2015; 05/10/2027; 3; 5(E); E29; Bajo; 4 Hora(s); Estafa
PPL 650; 9213212194; Dario Adrian Romero Sanchez; 59; 40; 05/08/1986; 05/08/2026; 2; 5(E); E30; Bajo; 4 Hora(s); Estafa
PPL 651; 4441713292; Victor Cesar Cuenca Sanchez; 33; 14; 26/08/2012; 26/08/2026; 2; 5(E); E31; Bajo; 4 Hora(s); Otros
PPL 652; 5697813781; Carlos Diego Paredes Morales; 38; 3; 15/12/2022; 15/12/2025; 1; 5(E); E32; Bajo; 4 Hora(s); Escandalo Publico
PPL 653; 8843599224; Fabian Julian Torres Roman; 36; 29; 31/06/2019; 31/06/2048; 24; 5(E); E33; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 654; 7904958956; Victor Sergio Torres Morales; 62; 48; 07/02/1981; 07/02/2029; 5; 5(E); E34; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 655; 2667089031; Fabian Paulo Paredes Espinosa; 50; 23; 10/12/2002; 10/12/2025; 1; 5(E); E35; Bajo; 4 Hora(s); Escandalo Publico
PPL 656; 7081916124; Michael Antonio Garcia Morales; 36; 25; 05/06/2021; 05/06/2046; 22; 5(E); E36; Bajo; 4 Hora(s); Escandalo Publico
PPL 657; 3398175938; Gonzalo Paulo Cuenca Gomez; 56; 41; 05/08/1989; 05/08/2030; 6; 5(E); E37; Bajo; 4 Hora(s); Estafa
PPL 658; 3629028346; Pedro Antonio Gonzales Rivera; 38; 28; 13/12/2008; 13/12/2036; 12; 5(E); E38; Bajo; 4 Hora(s); Estafa
PPL 659; 8326041271; Victor Antonio Cevallos Sanchez; 45; 29; 12/07/2000; 12/07/2029; 5; 5(E); E39; Bajo; 4 Hora(s); Estafa
PPL 660; 3032565009; Fabian Cesar Paredes Sanchez; 54; 36; 14/12/1990; 14/12/2026; 2; 5(E); E40; Bajo; 4 Hora(s); Estafa
PPL 661; 8756721243; Dario Antonio Romero Reyes; 49; 29; 16/10/1997; 16/10/2026; 2; 5(E); E41; Bajo; 4 Hora(s); Escandalo Publico
